transaction_id,customer_id,product_id,quantity,total_amount,transaction_date,payment_method,store_type
TRX000001,802,425,1,363.4,2020-07-27,Debit Card,Physical Store
TRX000002,858,280,6,758.18,2022-08-10,Credit Card,Physical Store
TRX000003,658,694,9,748.66,2020-05-22,Bank Transfer,Online
TRX000004,516,930,4,933.78,,Bank Transfer,Physical Store
TRX000005,368,104,10,137.28,2022-06-24,PayPal,Physical Store
TRX000006,606,409,6,556.88,2020-10-14,Credit Card,Online
TRX000007,535,487,7,246.29,2023-08-19,Credit Card,Physical Store
TRX000008,87,630,8,-416.82,2020-04-18,Credit Card,Physical Store
TRX000009,383,617,10,405.05,2021-02-13,Cash,Physical Store
TRX000010,725,938,1,410.03,2020-03-18,PayPal,Online
TRX000011,687,457,8,269.88,2020-06-27,Credit Card,Physical Store
TRX000012,746,552,10,801.14,2021-10-20,Bank Transfer,Physical Store
TRX000013,16,681,5,421.51,2021-06-01,PayPal,Online
TRX000014,458,811,4,262.38,2023-12-14,Bank Transfer,Physical Store
TRX000015,391,84,2,867.84,2021-03-26,Debit Card,Online
TRX000016,899,194,10,212.75,2023-10-13,Credit Card,Physical Store
TRX000017,296,646,10,498.83,2023-08-26,Debit Card,Physical Store
TRX000018,483,658,10,91.09,2023-06-05,PayPal,Online
TRX000019,783,406,9,610.69,2023-06-27,PayPal,Physical Store
TRX000020,984,522,7,804.71,2020-10-14,Credit Card,Online
TRX000021,462,666,10,988.44,2023-04-07,PayPal,Online
TRX000022,253,455,2,876.7,2021-12-29,Credit Card,Physical Store
TRX000023,810,720,3,44.16,2023-07-02,Debit Card,Online
TRX000024,931,870,5,366.96,2023-01-15,Bank Transfer,Online
TRX000025,489,392,4,854.16,2023-03-01,Bank Transfer,Physical Store
TRX000026,800,404,7,547.84,2022-10-21,Bank Transfer,Physical Store
TRX000027,560,5,6,491.86,2023-12-11,Credit Card,Online
TRX000028,921,460,5,739.54,2023-10-18,Cash,Online
TRX000029,515,616,9,319.22,2020-04-09,PayPal,Online
TRX000030,973,708,1,737.1,2023-01-05,Bank Transfer,Physical Store
